Area,Year,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature Â°C
United Kingdom ,1990,2.9415,0.6651,1430.0997,1463.391166,27091.0248,1803,10182.3579,-15141.1333,0,25614.3102,10007.2686,2667.7458,4711.8326,7862.8015,15689.4353,170.9401,53287.0833,3666.4042,5581.452,7449.9087,0,0,3256.6658,12500044,44683287,27798722,29411720,166798.195,1.02475
United Kingdom,1991,2.9415,0.6651,1429.8091,1463.391166,27091.0248,1747,10064.5984,-15141.1333,0,26831.3722,10209.6693,2669.1862,4591.771,7982.8771,15356.6691,221.0617,54131.8325,3635.3935,5531.4982,7383.9221,0,0,3367.9546,12550595,44788852,27871224,29488230,168571.5043,0.266
United Kingdom ,1992,2.9415,0.6651,1405.2708,1463.391166,27091.0248,1779,10178.6342,-15141.1333,0,26661.9778,10431.7138,2584.9061,4400.7841,8095.6246,15713.6523,266.6539,49212.43,3619.467,5601.5691,7347.9048,0,0,3345.5221,12549775,44944763,27945575,29563665,164061.9999,0.415916667
United Kingdom ,1993,2.9415,0.6651,1245.3767,1443.263309,27089.9001,1607,8977.7317,-15141.1333,0,25083.9201,7464.7697,2327.4611,3978.9446,8169.9684,15553.4519,309.4133,44734.6743,3626.4069,5581.4499,7356.8225,0,0,3356.8248,12549115,45101358,28015997,29631466,152769.8526,0.035833333
United Kingdom,1994,2.9415,0.6651,1267.9789,1443.263309,27084.9318,1670,8974.3961,-15141.1333,0,23893.2953,7880.9923,2155.7115,4017.6183,8271.893,14366.3074,363.102,49340.9086,3656.113,5552.1028,7420.0629,0,0,3374.2967,12549237,45261534,28088096,29697804,155595.4472,0.52975
United Kingdom,1995,2.9415,0.6651,1380.08,1443.263309,27071.8305,1563,8893.9196,-15141.1333,0,22904.4694,7865.338,2047.6876,4044.5637,8443.4073,14160.229,410.1611,47899.5214,3607.3097,5490.7617,7266.3492,0,0,3263.893,12550805,45427516,28164075,29766289,152618.2578,0.826916667
United Kingdom,1996,3.6237,2.5131,1543.233,1443.263309,26991.3134,1569,9238.0087,-15141.1333,0,24303.5857,8152.7692,2017.8399,3914.2994,8365.0871,14522.7632,463.9655,47521.7259,3629.9871,5425.9265,7294.0199,0,0,3595.7532,12554541,45602204,28244141,29834446,154857.5445,-0.073833333
United Kingdom,1997,2.8085,1.7553,1485.9344,1443.263309,26680.5186,1592,9308.973,-15141.1333,0,22174.8129,8072.2891,1875.289,3860.8399,8504.3389,13734.2746,521.5172,47315.1395,3649.9068,5413.0409,7288.0692,0,0,3269.208,12560706,45785967,28338462,29911735,151052.8458,1.113416667
United Kingdom,1998,2.7902,1.938,1439.9375,1443.263309,26683.032,1152,9276.5969,-15141.1333,0,22831.3945,8168.6235,1972.4392,3151.4935,13124.8606,13562.4577,577.3333,49385.565,3601.2069,5518.6798,7214.0216,0,0,3276.5817,12568457,45976481,28442821,29995500,157243.0819,0.832833333
United Kingdom,1999,2.8153,1.938,1399.5582,1443.263309,26639.1199,1321,9599.8166,-15141.1333,0,22145.1765,8232.7861,1912.357,3135.4508,8262.7689,13123.6902,638.8068,39415.3314,3533.6659,5517.7086,7004.6611,0,0,2977.0213,12576795,46169933,28553554,30081649,141165.8026,1.02575
United Kingdom,2000,2.7902,1.938,1509.0171,1463.391166,26569.6365,1391,9484.7594,-15141.1333,0,23127.296,8720.536,2098.3847,3234.1228,8116.8347,12306.3562,688.6445,35648.5777,3459.6872,5306.1485,6727.1987,0,0,2666.4927,12585414,46365434,28674538,30175505,137381.6788,0.806583333
United Kingdom,2001,1.0408,0.7829,1204.2022,1463.391166,26549.1745,1199,9447.7628,-13564.8333,0,23503.7013,9245.12,2029.5075,3385.8314,7917.1684,13188.5985,744.1567,35039.6132,3296.6125,4786.0019,6364.6698,0,0,2479.9192,12568459,46580884,28809410,30282606,138281.4215,0.508833333
United Kingdom,2002,0,0,1448.5861,1463.391166,26511.6851,1606,9578.7632,-13564.8333,0,22700.0298,8949.2501,1989.193,3219.059,8420.0426,13087.1927,1118.6841,35943.9187,3190.7481,4674.834,6189.6466,0,0,2199.2259,12435493,46913460,28956939,30398751,138725.4169,1.140166667
United Kingdom,2003,10.6987,1.3051,1348.7861,1463.391166,26473.7289,1040,9712.0268,-13564.8333,0,23311.5406,9286.2249,2010.117,3290.7565,8310.8876,12952.7059,1199.2344,37242.796,3166.5616,4705.7335,6092.4916,0,0,1432.0092,12309693,47270529,29122047,30527752,139486.1623,1.15475
United Kingdom,2004,0,0,1387.9058,1463.391166,26432.8466,1102,9846.2075,-13564.8333,0,23354.1609,9861.4262,2038.588,3225.1136,8220.8287,13541.4034,1180.4162,37305.9741,3165.6053,4712.1051,6087.0832,0,0,1281.6741,12198913,47685215,29313408,30682443,140641.8966,1.091583333
United Kingdom,2005,0.9984,0,1323.1534,1463.391166,26425.2425,1319,9968.4561,-13564.8333,0,22742.3273,10326.7133,2013.8137,3599.153,17776.8702,12945.6808,1152.453,37073.4296,3142.4991,4699.0405,5999.5616,0,0,1541.1906,12108499,48178255,29525278,30858464,149948.141,1.065166667
United Kingdom,2006,0.8559,0.3911,1310.2799,1463.391166,26424.8722,890,10136.9391,-13564.8333,0,22760.5523,10599.0483,2113.5526,3869.9104,18747.8641,12840.7634,1025.1938,37970.4642,3094.2445,4629.4443,5930.8089,0,0,1290.1009,12039836,48762965,29752816,31050884,151533.8438,1.3555
United Kingdom,2007,6.717,0.4732,1208.0889,1463.391166,26409.7813,628,10276.6951,-13564.8333,0,21681.9738,10712.4848,2099.2811,3959.6339,7658.4103,12654.5427,1037.5086,39619.2206,3004.1823,4520.8392,5796.1834,0,0,1253.7939,11988805,49425855,29998911,31261766,140426.368,1.243333333
United Kingdom,2008,0,0,1519.5111,1463.391166,26402.2901,565,9929.846,-13564.8333,0,20597.894,11229.0656,2033.9141,3933.3492,7714.2644,12296.8316,1095.3201,38355.2297,2955.8249,4423.1874,5671.747,0,0,1192.0495,11945543,50130678,30258873,31483278,137813.8826,0.736083333
United Kingdom,2009,1.0135,0.1062,1356.7678,1463.391166,26398.0759,529,9689.4724,-13564.8333,0,18774.1828,10582.7485,1710.4562,3278.4828,8065.3121,10350.9224,1196.4069,36081.8825,2903.511,4276.4535,5561.3403,0,0,1152.2789,11898094,50824513,30527585,31715793,129806.9716,0.866916667
United Kingdom,2010,1.8456,0.261,1320.1759,1463.391166,26404.7373,399,9671.1994,-13564.8333,0,19702.1575,11132.7806,1828.7187,3339.8744,8063.0136,11002.1518,1194.8854,37430.398,2893.6547,4262.6167,5567.6072,0,0,1506.3579,11837146,51469697,30802755,31957283,133619.9936,-0.287
United Kingdom,2011,2.6992,0.261,1356.4414,1463.391166,26416.345,386,9560.7143,-11939.4,0,17653.8393,10816.2142,1754.1028,3120.2415,8098.3643,10852.8514,1283.6063,37689.7289,2866.7617,4273.5019,5506.5307,0,0,1461.5303,11760347,52051535,31082938,32203425,132623.7254,1.295
United Kingdom,2012,2.5616,0.3914,1232.0296,1463.391166,26420.235,428,9523.5115,-11939.4,0,19346.6458,11794.8626,1902.9906,3165.6884,7810.6662,11323.5276,1315.5349,37929.5762,2857.817,4313.5066,5487.793,0,0,1596.2956,11669597,52580733,31362781,32445946,135975.6248,0.511083333
United Kingdom,2013,0,0,1256.5089,1463.391166,26434.0907,410,9532.2713,-11939.4,0,18310.1833,11619.5342,1781.3439,2949.6892,7840.8199,11102.0638,1328.4156,38810.3826,2885.891,4355.3517,5566.2657,0,0,1562.4941,11569344,53071766,31629550,32672747,135269.2971,0.506666667
United Kingdom,2014,0,0,1524.4761,1463.391166,26414.9595,412,9711.6868,-11939.4,0,15666.9952,10578.069,1600.263,2761.2713,7687.5616,10362.8146,1373.8071,39602.4426,2911.1097,4427.4593,5599.542,0,0,1453.5104,11465340,53550346,31883658,32889846,131611.9594,1.602333333
United Kingdom,2015,1.2531,0,1534.774,1463.391166,26414.9595,392,9901.7712,-11939.4,0,14231.2956,9883.1539,1445.8957,2513.5843,7790.228,9234.4957,1354.2051,39933.6826,2934.9357,4413.0047,5661.0636,0,0,1656.496,11361769,54035311,32128081,33096283,128820.7899,0.884666667
United Kingdom,2016,0.2974,0,1373.8427,1463.391166,26423.5259,385,10125.8305,-13596,0,12629.927,9170.9221,1207.3864,2223.1295,8047.7912,8684.5393,1433.4352,39975.8535,2972.6212,4479.4038,5731.087,0,0,2038.6787,11259199,54529375,32362414,33292789,124770.6626,1.0165
United Kingdom,2017,0.3951,0.2609,1438.4412,1463.391166,26425.3307,367,10147.3998,-13596,0,11588.7212,8608.7175,1075.5974,2037.0991,8273.9217,8473.7665,1502.0778,40103.1935,3005.441,4546.3843,5769.3324,0,0,2092.1457,11156164,55025421,32584428,33480376,123322.617,1.2915
United Kingdom,2018,2.8997,1.0193,1318.6832,1443.263309,26404.6942,374,10115.7423,-13596,0,11266.1998,8192.0388,995.6855,1932.1149,8541.6514,8586.4973,1522.2312,40285.038,2996.527,4446.1927,5762.2647,0,0,1883.7142,11052278,55521226,32784781,33648212,122474.4575,1.132833333
United Kingdom,2019,7.4606,1.436,1574.4891,1443.263309,26408.216,364,10024.2111,-13596,0,10512.115,7650.5984,884.8051,1849.0059,8789.4516,8230.2448,1535.9812,39519.678,2963.9432,4405.0943,5718.7868,0,0,1950.4057,10946740,56012276,32972061,33806598,120237.1861,1.172083333
United Kingdom,2020,1.6838,0.5218,1183.0385,1443.263309,26394.6895,281,8251.6247,-13596,0,10572.8533,7075.8256,576.9391,1718.3111,9027.9147,7852.3362,1662.7597,36955.4516,2922.8374,4315.9275,5663.9304,0,0,454.2461,10839028,56495180,33122378,33937096,112759.1543,1.319833333
